subject,condition,moralCondition,condition2,survey,round,answer,response,mLog,correct,congenialMisinfo
80,gunsR,neutral,gunsR_neutral,R,1,1,"It comes down to the ratios between the groups. Ultimately, we see that there is more sample data for the did ban group, which skews data.","cellB,start:2.731,end:2.779;,cellA,start:2.779,end:2.813;,cellA,start:28.458,end:28.592;,cellA,start:28.892,end:30.791;,cellB,start:30.791,end:32.074;,cellC,start:32.142,end:35.1;,cellD,start:35.1,end:36.116;,cellC,start:36.116,end:36.184;,cellC,start:36.549,end:36.734;,cellD,start:36.75,end:37.6;,cellC,start:37.601,end:38.4;,cellD,start:39.449,end:44.416;,cellA,start:44.483,end:44.96;,cellB,start:44.96,end:45.512;,cellC,start:46.694,end:46.827;,cellD,start:46.844,end:47.093;,cellC,start:47.112,end:47.41;,cellD,start:47.41,end:48.094;,cellA,start:48.177,end:48.66;,cellB,start:48.66,end:49.961;,cellA,start:49.962,end:50.377;,cellB,start:50.378,end:50.427;,cellB,start:54.393,end:55.144;,cellC,start:55.492,end:58.482;,cellD,start:59.332,end:59.349;,cellD,start:59.699,end:60.515;,cellB,start:60.583,end:61.249;,cellB,start:61.765,end:61.783;,cellA,start:61.783,end:64.083;,cellB,start:64.1,end:67.389;,cellA,start:67.389,end:67.422;,cellA,start:69.322,end:69.839;,cellB,start:69.839,end:70.256;,cellC,start:70.455,end:70.94;,cellD,start:71.523,end:72.122;,cellB,start:91.467,end:91.483;,cellA,start:91.483,end:91.917;,cellB,start:91.933,end:93.017;",1,uncongenial
81,gunsR,neutral,gunsR_neutral,R,1,1,The total increase of crime percentage of the cities was greater in the city that banned concealed guns - all else being equal percentages,"cellA,start:3.315,end:3.432;,cellA,start:3.965,end:4.814;,cellA,start:4.948,end:5.78;,cellB,start:5.781,end:7.58;,cellA,start:13.48,end:14.377;,cellB,start:14.378,end:14.96;,cellC,start:15.011,end:15.794;,cellD,start:15.794,end:16.66;,cellC,start:16.66,end:17.16;,cellA,start:17.193,end:19.226;,cellB,start:19.226,end:20.125;,cellC,start:20.209,end:20.658;,cellD,start:20.658,end:21.225;,cellC,start:21.225,end:21.558;,cellB,start:21.642,end:22.041;,cellA,start:22.042,end:22.391;,cellC,start:22.458,end:22.791;,cellD,start:22.791,end:23.141;,cellB,start:23.207,end:23.724;,cellA,start:23.724,end:23.974;,cellC,start:24.024,end:24.29;,cellD,start:24.29,end:24.441;,cellD,start:31.838,end:32.054;,cellC,start:32.071,end:33.087;,cellD,start:33.104,end:35.086;,cellC,start:35.087,end:35.903;,cellD,start:35.903,end:35.953;,cellD,start:37.835,end:38.252;,cellC,start:38.269,end:38.535;,cellA,start:38.618,end:39.018;,cellB,start:39.018,end:39.235;,cellD,start:39.285,end:39.469;",1,uncongenial
82,gunsR,neutral,gunsR_neutral,R,1,1,"Even though it doubled in numbers for decrease in crime, it also more than trippled for increase in crime.","cellB,start:0.019,end:7.452;,cellD,start:11.107,end:13.673;,cellC,start:13.673,end:14.843;,cellA,start:14.843,end:14.976;,cellA,start:20.975,end:24.216;,cellB,start:24.233,end:24.7;,cellA,start:24.7,end:29.809;,cellB,start:29.809,end:30.717;,cellC,start:31.832,end:32.483;,cellD,start:32.483,end:33.359;,cellC,start:33.359,end:33.368;,cellA,start:33.401,end:33.452;,cellA,start:33.8,end:33.882;,cellC,start:33.983,end:34.416;,cellD,start:34.416,end:34.898;,cellC,start:34.898,end:35.146;,cellB,start:35.196,end:35.229;,cellB,start:35.563,end:36.196;,cellA,start:36.196,end:36.43;,cellB,start:39.546,end:39.579;,cellB,start:52.073,end:52.806;,cellA,start:52.806,end:59.772;,cellC,start:59.88,end:60.647;,cellB,start:60.763,end:61.163;,cellD,start:61.814,end:62.447;,cellB,start:65.097,end:65.431;,cellD,start:65.48,end:65.881;,cellC,start:65.881,end:66.181;,cellC,start:68.414,end:68.431;,cellD,start:69.447,end:69.598;,cellB,start:69.681,end:70.064;,cellB,start:114.258,end:115.124;,cellB,start:116.274,end:116.681;,cellD,start:116.932,end:117.215;,cellD,start:117.381,end:117.432;,cellC,start:117.432,end:117.715;,cellD,start:117.715,end:118.099;",1,uncongenial
83,gunsR,neutral,gunsR_neutral,R,1,0,Studies have shown when you ban something people do do try to obey it.,"cellD,start:0.722,end:0.906;,cellD,start:48.643,end:48.676;,cellC,start:48.676,end:48.695;,cellA,start:49.327,end:51.127;,cellB,start:51.146,end:52.361;,cellA,start:52.362,end:52.844;,cellC,start:52.91,end:54.577;,cellD,start:54.593,end:56.178;,cellC,start:56.178,end:56.445;,cellA,start:56.511,end:57.127;,cellA,start:57.16,end:57.194;,cellB,start:57.194,end:57.262;,cellB,start:69.195,end:69.279;,cellA,start:69.279,end:70.845;,cellB,start:70.845,end:70.995;,cellD,start:71.195,end:71.296;,cellC,start:71.296,end:71.911;,cellD,start:71.911,end:72.098;,cellD,start:72.249,end:72.962;",0,uncongenial
84,gunsR,neutral,gunsR_neutral,R,1,1,Looks like cities that enacted the ban had a 30% chance of increasing crime. Whereas cities that did not had,"cellB,start:12.785,end:12.82;,cellA,start:12.835,end:14.436;,cellA,start:15.12,end:15.92;,cellB,start:16.941,end:17.24;,cellA,start:17.257,end:17.289;,cellA,start:17.343,end:18.446;,cellA,start:18.723,end:19.09;,cellB,start:19.09,end:19.974;,cellA,start:19.974,end:20.328;,cellB,start:20.329,end:21.679;,cellA,start:21.692,end:25.493;,cellC,start:25.509,end:26.235;,cellD,start:26.235,end:28.836;,cellB,start:32.021,end:32.504;,cellA,start:32.521,end:35.706;,cellC,start:35.757,end:36.386;,cellD,start:36.386,end:36.836;,cellC,start:36.836,end:37.236;,cellA,start:37.254,end:37.32;,cellB,start:37.588,end:38.088;,cellC,start:38.103,end:38.503;,cellD,start:38.503,end:38.853;,cellB,start:38.87,end:39.304;,cellA,start:39.304,end:39.604;,cellC,start:39.637,end:39.704;,cellD,start:39.938,end:40.237;,cellB,start:40.272,end:40.61;,cellA,start:40.61,end:40.87;,cellB,start:40.87,end:41.023;,cellD,start:41.071,end:41.505;,cellC,start:41.505,end:44.323;,cellA,start:44.356,end:45.123;,cellC,start:45.16,end:45.94;,cellA,start:45.973,end:46.377;,cellB,start:46.378,end:47.661;,cellD,start:47.694,end:48.411;,cellC,start:48.411,end:48.845;,cellD,start:48.862,end:49.145;,cellC,start:49.145,end:49.862;,cellA,start:49.896,end:50.195;,cellB,start:50.195,end:51.946;,cellA,start:51.946,end:52.396;,cellC,start:52.413,end:52.93;,cellA,start:52.947,end:53.185;,cellB,start:53.185,end:53.597;,cellA,start:53.597,end:54.013;,cellB,start:54.013,end:54.08;,cellD,start:54.133,end:54.549;,cellC,start:54.549,end:54.898;,cellA,start:54.898,end:54.948;,cellA,start:55.248,end:55.283;,cellC,start:55.301,end:55.686;,cellD,start:55.686,end:56.213;,cellB,start:62.284,end:62.682;,cellA,start:62.682,end:63.384;,cellB,start:63.384,end:64.602;,cellB,start:66.433,end:66.448;,cellD,start:66.467,end:66.814;,cellC,start:66.814,end:67.265;,cellD,start:67.266,end:67.315;,cellB,start:98.632,end:98.713;,cellB,start:98.997,end:99.013;,cellA,start:99.013,end:99.616;,cellB,start:99.616,end:101.464;,cellA,start:101.465,end:102.532;,cellB,start:102.532,end:103.556;",1,uncongenial
85,gunsR,neutral,gunsR_neutral,R,1,0,it shows a large drop in people that commited crimes when they did ban,"cellD,start:8.821,end:8.871;,cellC,start:8.871,end:8.953;,cellA,start:9.003,end:16.804;,cellB,start:17.237,end:19.387;,cellC,start:19.537,end:20.353;,cellA,start:20.438,end:26.087;,cellC,start:26.187,end:31.504;,cellD,start:31.504,end:32.371;,cellB,start:32.438,end:33.171;,cellA,start:33.171,end:41.288;,cellC,start:41.354,end:42.138;,cellB,start:51.938,end:52.371;,cellD,start:52.421,end:53.005;,cellB,start:53.105,end:56.371;,cellD,start:56.471,end:57.288;,cellB,start:57.355,end:57.372;,cellA,start:57.372,end:57.838;,cellB,start:57.838,end:57.888;,cellB,start:63.039,end:63.138;,cellA,start:63.139,end:64.022;,cellC,start:64.088,end:64.605;,cellA,start:64.739,end:66.255;,cellD,start:66.372,end:67.322;,cellC,start:92.656,end:92.806;,cellA,start:93.073,end:93.273;,cellB,start:93.273,end:93.673;,cellD,start:93.723,end:94.123;,cellC,start:94.123,end:94.256;",0,uncongenial
86,gunsR,neutral,gunsR_neutral,R,1,1,"If you go by straight percentage, they seem to have the same outcome. The bans were supposed to lower the crime though, not increase it.","cellC,start:0.694,end:1.609;,cellA,start:1.727,end:1.782;,cellA,start:1.826,end:1.876;,cellC,start:9.426,end:10.693;,cellA,start:10.727,end:11.827;,cellB,start:11.827,end:13.996;,cellD,start:14.06,end:18.443;,cellB,start:18.526,end:18.593;,cellA,start:18.609,end:19.493;,cellB,start:19.494,end:22.327;,cellD,start:22.343,end:22.36;,cellC,start:22.36,end:24.959;,cellD,start:24.96,end:25.943;,cellB,start:25.96,end:26.61;,cellD,start:26.693,end:27.262;,cellB,start:27.293,end:29.059;,cellA,start:29.059,end:29.593;,cellC,start:29.61,end:33.384;,cellA,start:33.41,end:36.01;,cellB,start:36.011,end:38.36;,cellB,start:41.01,end:41.212;,cellA,start:41.213,end:41.86;,cellC,start:41.893,end:42.81;,cellD,start:42.811,end:43.41;,cellB,start:43.427,end:44.127;,cellB,start:46.926,end:47.06;,cellA,start:47.06,end:47.527;,cellC,start:47.543,end:47.56;,cellC,start:47.927,end:50.76;,cellC,start:50.81,end:50.843;,cellA,start:50.877,end:51.527;,cellB,start:51.527,end:52.56;,cellA,start:52.56,end:53.227;,cellC,start:53.277,end:53.626;,cellD,start:53.626,end:53.66;,cellD,start:53.727,end:54.277;,cellC,start:54.293,end:55.127;,cellD,start:55.127,end:55.193;,cellB,start:55.243,end:55.86;,cellA,start:55.86,end:56.71;,cellB,start:56.71,end:58.427;,cellD,start:58.51,end:58.993;,cellC,start:58.993,end:59.677;,cellD,start:59.677,end:59.71;,cellB,start:61.643,end:62.794;",1,uncongenial
87,gunsR,neutral,gunsR_neutral,R,1,0,"NA","cellD,start:0.597,end:0.645;,cellA,start:0.673,end:1.201;,cellA,start:1.375,end:4.043;,cellB,start:4.043,end:4.112;,cellB,start:4.321,end:4.731;,cellA,start:4.731,end:5.113;,cellB,start:5.113,end:5.446;,cellD,start:5.495,end:5.717;,cellC,start:6.03,end:6.398;,cellB,start:6.433,end:6.544;",0,uncongenial
88,gunsR,neutral,gunsR_neutral,R,1,"NA",about gun control is good for nat,"cellD,start:0.84,end:4.634;,cellD,start:9.006,end:19.894;,cellC,start:19.894,end:20.161;,cellA,start:20.178,end:20.194;,cellB,start:25.144,end:28.258;,cellB,start:28.343,end:28.696;,cellC,start:49.11,end:49.411;,cellA,start:49.411,end:49.825;,cellB,start:49.825,end:49.859;,cellA,start:55.491,end:56.791;,cellC,start:56.975,end:57.441;,cellA,start:57.591,end:58.491;,cellD,start:58.591,end:59.624;,cellB,start:59.741,end:61.091;,cellA,start:61.091,end:61.907;,cellC,start:61.957,end:64.907;,cellA,start:65.89,end:68.307;,cellB,start:68.307,end:70.099;,cellD,start:70.491,end:70.54;,cellC,start:70.54,end:70.59;,cellA,start:70.624,end:71.94;,cellC,start:72.09,end:73.573;,cellD,start:73.573,end:77.706;,cellC,start:77.723,end:78.847;,cellA,start:80.04,end:80.239;,cellA,start:80.939,end:82.041;,cellB,start:82.041,end:82.873;,cellC,start:85.64,end:85.739;,cellD,start:85.739,end:85.773;,cellB,start:86.402,end:86.489;",NA,uncongenial
1,guns,outrage,guns_outrage,D,2,1,"The increase seems to be larger than the decrease, right? Am I interpreting it correctly?","cellD,start:7.215,end:7.233;,cellC,start:7.233,end:7.248;,cellA,start:7.281,end:7.581;,cellA,start:7.931,end:15.465;,cellC,start:15.565,end:16.398;,cellA,start:16.432,end:16.765;,cellB,start:16.765,end:17.681;,cellD,start:17.715,end:18.614;,cellB,start:18.648,end:20.365;,cellA,start:20.365,end:29.282;,cellB,start:29.282,end:30.682;,cellA,start:30.682,end:31.098;,cellC,start:31.182,end:33.531;,cellD,start:33.532,end:35.431;,cellB,start:35.482,end:38.598;,cellA,start:38.599,end:43.831;,cellB,start:43.832,end:44.248;,cellA,start:44.248,end:44.531;,cellC,start:44.565,end:44.931;,cellD,start:44.932,end:46.132;,cellC,start:46.132,end:46.182;,cellA,start:46.282,end:47.081;,cellB,start:47.081,end:47.615;,cellB,start:52.781,end:54.648;,cellD,start:54.698,end:55.098;,cellB,start:88.748,end:89.132;,cellD,start:89.148,end:89.932;,cellC,start:89.932,end:90.265;,cellA,start:90.332,end:90.898;,cellB,start:90.899,end:91.132;,cellC,start:91.165,end:91.448;,cellA,start:91.515,end:91.565;,cellB,start:91.565,end:91.648;",0,uncongenial
2,guns,outrage,guns_outrage,D,2,0,"The decrease compared to the increase is greater in the cities that banned it, rather than the cities that didn't/","cellB,start:8.101,end:8.156;,cellA,start:8.156,end:12.134;,cellB,start:12.134,end:13.347;,cellC,start:13.451,end:16.073;,cellD,start:16.073,end:18.123;,cellA,start:18.177,end:21.57;,cellB,start:21.57,end:23.162;,cellD,start:23.248,end:24.469;,cellC,start:24.469,end:27.973;,cellA,start:28.098,end:32.223;,cellB,start:32.224,end:32.343;,cellC,start:37.302,end:38.222;,cellD,start:38.222,end:38.273;,cellB,start:63.179,end:63.214;,cellA,start:63.214,end:64.602;,cellB,start:64.602,end:64.619;,cellD,start:76.836,end:77.186;,cellC,start:77.187,end:77.701;,cellD,start:77.701,end:77.737;",1,uncongenial
3,guns,outrage,guns_outrage,D,2,0,lower ratio of increase in crime compared to decrease in crime,"cellD,start:1.635,end:1.751;,cellA,start:1.835,end:1.868;,cellA,start:2.618,end:6.918;,cellB,start:6.934,end:12.885;,cellC,start:12.952,end:13.702;,cellD,start:13.702,end:16.368;,cellC,start:16.368,end:19.668;,cellA,start:19.786,end:23.318;,cellB,start:23.318,end:25.19;,cellA,start:25.19,end:25.219;,cellC,start:25.252,end:28.452;,cellD,start:28.452,end:29.071;,cellB,start:29.071,end:29.935;,cellA,start:29.952,end:30.602;,cellB,start:30.618,end:30.652;,cellB,start:31.053,end:36.252;,cellA,start:36.252,end:36.769;,cellB,start:36.769,end:36.802;,cellB,start:37.069,end:37.085;,cellC,start:37.102,end:37.586;,cellD,start:37.602,end:38.152;,cellC,start:38.152,end:38.552;,cellA,start:38.574,end:39.402;,cellB,start:39.402,end:40.302;",1,uncongenial
4,guns,outrage,guns_outrage,D,2,0,"While the increase is larger than the cities with no ban, the decrease is crime is also larger.","cellD,start:0.625,end:0.659;,cellB,start:0.742,end:1.175;,cellA,start:1.176,end:4.524;,cellB,start:4.524,end:4.692;,cellC,start:4.774,end:6.608;,cellA,start:6.641,end:6.842;,cellB,start:6.843,end:7.259;,cellD,start:7.309,end:10.124;,cellB,start:10.709,end:11.309;,cellA,start:11.309,end:13.841;,cellB,start:13.841,end:13.858;,cellD,start:24.541,end:24.558;,cellB,start:24.575,end:24.692;,cellA,start:24.725,end:25.174;,cellC,start:25.207,end:26.975;,cellA,start:27.025,end:27.241;,cellB,start:27.241,end:27.54;,cellD,start:27.592,end:28.109;,cellC,start:28.109,end:28.341;,cellA,start:28.392,end:28.508;,cellB,start:28.525,end:28.558;",1,uncongenial
5,guns,outrage,guns_outrage,NA,2,"NA","NA","cellA,start:2.355,end:2.388;,cellA,start:2.788,end:11.955;,cellC,start:11.972,end:12.155;,cellA,start:12.305,end:12.338;,cellA,start:14.605,end:15.455;,cellB,start:15.472,end:17.272;,cellA,start:17.272,end:20.088;,cellC,start:21.305,end:21.855;,cellD,start:22.072,end:24.456;,cellC,start:24.456,end:24.922;,cellA,start:24.955,end:25.389;,cellB,start:25.389,end:25.772;,cellD,start:25.789,end:26.189;,cellC,start:26.189,end:26.505;,cellA,start:26.522,end:26.889;,cellB,start:26.889,end:26.939;,cellB,start:27.239,end:27.256;,cellD,start:27.289,end:27.672;,cellC,start:27.672,end:28.072;,cellA,start:28.122,end:28.389;,cellA,start:31.639,end:35.172;,cellA,start:35.489,end:35.572;,cellB,start:35.572,end:35.622;,cellB,start:36.089,end:38.056;,cellA,start:38.056,end:38.073;,cellC,start:41.839,end:41.872;,cellD,start:42.106,end:42.773;,cellC,start:42.773,end:43.172;,cellA,start:43.206,end:43.24;,cellA,start:43.489,end:43.556;,cellB,start:43.556,end:43.956;,cellA,start:43.956,end:44.023;,cellC,start:44.056,end:44.073;,cellC,start:44.189,end:44.639;,cellD,start:44.639,end:45.106;,cellC,start:45.106,end:45.989;,cellD,start:45.989,end:46.339;,cellA,start:46.389,end:46.456;,cellA,start:46.789,end:47.19;,cellB,start:47.206,end:47.623;,cellD,start:47.639,end:48.056;,cellC,start:48.056,end:48.439;,cellA,start:48.473,end:48.89;,cellB,start:48.89,end:55.39;,cellC,start:55.406,end:58.207;,cellD,start:58.207,end:58.723;,cellB,start:58.773,end:59.223;,cellA,start:59.223,end:62.09;,cellB,start:63.157,end:63.358;,cellA,start:63.623,end:63.84;,cellC,start:101.91,end:102.291;,cellD,start:102.291,end:102.758;,cellB,start:102.775,end:102.791;,cellB,start:103.141,end:103.158;,cellA,start:103.158,end:103.275;,cellC,start:103.608,end:103.641;,cellC,start:104.008,end:104.025;,cellB,start:104.025,end:104.041;,cellD,start:111.875,end:111.908;,cellC,start:111.908,end:112.325;,cellD,start:112.325,end:112.758;,cellB,start:112.775,end:112.792;,cellB,start:113.408,end:113.442;,cellC,start:113.442,end:113.592;,cellC,start:113.725,end:113.775;,cellB,start:113.792,end:113.808;",NA,NA
6,guns,outrage,guns_outrage,D,2,1,I believe the proportion of cities that enacted a ban saw a greater increase in crime than cities that did not.,"cellD,start:4.661,end:4.711;,cellA,start:5.161,end:5.528;,cellC,start:5.661,end:6.111;,cellD,start:6.111,end:6.495;,cellB,start:6.545,end:7.628;,cellD,start:7.828,end:8.244;,cellB,start:8.294,end:8.561;,cellA,start:8.561,end:8.944;,cellC,start:9.028,end:9.961;,cellA,start:10.394,end:14.294;,cellB,start:14.294,end:16.428;,cellA,start:16.428,end:16.444;,cellC,start:16.478,end:17.478;,cellD,start:17.494,end:18.111;,cellC,start:18.111,end:21.694;,cellD,start:21.695,end:22.494;,cellC,start:22.495,end:22.728;,cellA,start:22.794,end:23.094;,cellB,start:23.094,end:23.511;,cellA,start:23.511,end:24.228;,cellB,start:24.244,end:24.361;,cellD,start:24.478,end:25.561;,cellB,start:25.611,end:25.978;",0,uncongenial
7,guns,outrage,guns_outrage,D,2,1,The number is twice the amount of cities that did not ban concealed handguns.,"cellD,start:0.033,end:1.01;,cellB,start:1.126,end:1.941;,cellA,start:1.942,end:3.394;,cellB,start:3.395,end:4.64;,cellA,start:4.641,end:6.026;,cellC,start:6.106,end:7.74;,cellD,start:7.757,end:8.556;,cellC,start:8.556,end:10.523;,cellD,start:10.523,end:11.555;,cellB,start:11.572,end:11.624;,cellB,start:11.955,end:12.039;,cellA,start:12.039,end:12.655;,cellB,start:12.655,end:13.222;,cellA,start:13.253,end:13.804;,cellB,start:13.804,end:14.04;,cellD,start:14.088,end:14.471;,cellC,start:14.471,end:15.188;,cellD,start:15.189,end:15.554;,cellB,start:15.57,end:16.021;,cellA,start:16.022,end:18.487;,cellB,start:18.502,end:19.653;,cellA,start:19.653,end:30.385;,cellB,start:30.385,end:31.382;,cellC,start:31.515,end:34.366;,cellB,start:34.547,end:35.065;,cellC,start:35.098,end:36.531;,cellB,start:40.795,end:40.845;,cellB,start:44.178,end:44.693;,cellA,start:44.71,end:47.592;,cellC,start:47.893,end:48.675;,cellA,start:48.708,end:49.243;,cellD,start:49.343,end:49.892;,cellB,start:50.226,end:50.625;,cellD,start:50.658,end:51.591;,cellB,start:51.674,end:51.691;,cellA,start:51.707,end:52.425;,cellC,start:52.474,end:52.823;,cellD,start:52.823,end:53.425;,cellB,start:53.476,end:54.057;,cellA,start:54.057,end:54.556;,cellC,start:54.623,end:54.689;,cellD,start:54.69,end:57.639;,cellB,start:57.722,end:60.189;,cellA,start:60.189,end:65.072;,cellB,start:65.072,end:65.936;,cellD,start:76.5,end:76.682;,cellA,start:76.732,end:77.317;,cellB,start:77.391,end:77.582;,cellA,start:77.582,end:77.599;,cellC,start:77.648,end:78.016;,cellD,start:78.017,end:78.698;,cellB,start:78.748,end:79.316;,cellA,start:79.316,end:79.781;,cellC,start:79.831,end:81.199;,cellA,start:81.315,end:81.764;,cellB,start:81.764,end:81.865;,cellD,start:84.68,end:84.713;,cellA,start:84.713,end:85.167;,cellB,start:85.167,end:85.18;,cellD,start:85.24,end:85.33;,cellD,start:85.639,end:85.664;,cellB,start:85.68,end:86.412;,cellD,start:86.495,end:86.633;",0,uncongenial
8,guns,outrage,guns_outrage,D,2,1,"honestly, no idea what the question is asking me","cellD,start:0.115,end:0.294;,cellB,start:0.411,end:0.461;,cellA,start:4.245,end:4.328;,cellC,start:5.512,end:6.263;,cellA,start:6.462,end:8.08;,cellB,start:8.08,end:8.447;,cellD,start:8.53,end:8.931;,cellB,start:8.997,end:9.013;,cellA,start:9.381,end:9.747;,cellC,start:10.498,end:11.248;,cellA,start:11.499,end:11.931;,cellB,start:11.932,end:11.981;,cellB,start:16,end:16.084;,cellA,start:16.084,end:16.801;,cellB,start:16.818,end:17.351;,cellA,start:17.368,end:18.185;,cellC,start:18.185,end:18.568;,cellA,start:18.568,end:18.985;,cellB,start:18.985,end:19.502;,cellD,start:19.502,end:19.902;,cellC,start:19.902,end:20.135;,cellA,start:20.135,end:20.652;,cellC,start:20.652,end:21.119;,cellA,start:21.119,end:21.452;,cellB,start:21.452,end:21.786;,cellD,start:21.786,end:22.153;,cellB,start:22.153,end:22.536;,cellA,start:22.536,end:22.869;,cellC,start:22.869,end:23.27;,cellA,start:23.287,end:23.721;,cellD,start:23.721,end:23.787;,cellD,start:30.323,end:30.339;,cellB,start:30.34,end:30.373;,cellA,start:30.373,end:30.39;,cellA,start:30.723,end:32.324;,cellC,start:32.324,end:32.741;,cellA,start:32.741,end:34.575;,cellB,start:34.575,end:35.158;,cellD,start:35.158,end:37.81;,cellD,start:39.81,end:39.844;,cellC,start:39.861,end:39.877;,cellA,start:39.877,end:43.579;,cellB,start:43.596,end:44.112;,cellA,start:44.112,end:46.996;,cellB,start:46.997,end:48.564;,cellC,start:49.614,end:50.164;,cellD,start:50.181,end:50.748;,cellC,start:51.315,end:51.765;,cellA,start:51.765,end:52.066;,cellB,start:52.082,end:52.566;,cellD,start:52.566,end:53.066;,cellC,start:53.066,end:53.433;,cellA,start:53.45,end:53.783;,cellB,start:53.783,end:55.367;,cellB,start:57.668,end:57.701;,cellA,start:57.701,end:62.92;,cellC,start:62.92,end:62.97;,cellC,start:63.304,end:63.336;,cellA,start:63.337,end:63.787;,cellB,start:63.787,end:67.205;,cellD,start:67.205,end:67.255;,cellD,start:67.405,end:67.639;,cellC,start:67.639,end:68.089;,cellD,start:68.089,end:69.99;,cellA,start:70.006,end:70.49;,cellB,start:70.49,end:72.957;",0,uncongenial
9,guns,outrage,guns_outrage,D,2,0,"NA","cellD,start:3.534,end:3.834;,cellC,start:3.834,end:4.019;,cellA,start:4.085,end:4.903;,cellB,start:4.904,end:5.372;,cellD,start:5.372,end:5.607;,cellB,start:5.69,end:6.528;,cellC,start:6.528,end:6.861;,cellA,start:6.911,end:7.748;,cellD,start:7.748,end:8.466;,cellB,start:8.55,end:8.767;,cellD,start:9.621,end:9.688;,cellB,start:9.878,end:10.005;,cellD,start:10.038,end:10.557;,cellB,start:10.608,end:10.959;,cellA,start:10.959,end:11.611;,cellC,start:11.645,end:13.233;,cellD,start:13.233,end:14.002;,cellB,start:14.087,end:14.538;,cellA,start:14.555,end:14.739;,cellC,start:14.756,end:15.559;,cellA,start:15.575,end:19.673;,cellB,start:19.673,end:20.844;,cellC,start:20.995,end:21.898;,cellD,start:21.898,end:23.219;,cellC,start:23.219,end:24.273;,cellD,start:24.273,end:24.323;,cellB,start:24.373,end:25.56;,cellA,start:25.56,end:26.146;,cellD,start:26.281,end:26.48;,cellC,start:26.48,end:27.033;,cellD,start:27.033,end:28.17;,cellC,start:28.17,end:28.421;,cellB,start:28.488,end:30.679;,cellA,start:30.68,end:31.332;,cellB,start:31.332,end:31.8;,cellD,start:31.85,end:33.221;,cellC,start:33.222,end:33.824;,cellD,start:33.824,end:33.891;,cellB,start:34.175,end:34.259;,cellA,start:34.259,end:35.412;,cellC,start:35.547,end:35.63;,cellD,start:35.647,end:36.018;",1,uncongenial
10,guns,outrage,guns_outrage,D,2,0,this helps the government put away more guns from the hands of the criminals,"cellA,start:7.095,end:7.965;,cellB,start:9.641,end:13.057;,cellC,start:13.157,end:13.621;,cellD,start:16.79,end:19.228;,cellD,start:22.365,end:22.539;",1,uncongenial
11,guns,outrage,guns_outrage,D,2,1,Cities that banned concealed carrying had a greater increase in crime that cities that did not ban concealed carry.,"cellD,start:0.588,end:0.621;,cellA,start:17.053,end:22.27;,cellC,start:22.37,end:22.787;,cellA,start:22.837,end:23.104;,cellB,start:23.104,end:23.538;,cellD,start:23.538,end:23.987;,cellA,start:24.003,end:27.287;,cellB,start:27.287,end:27.937;,cellA,start:27.937,end:29.669;,cellC,start:29.823,end:30.736;,cellD,start:30.736,end:31.319;,cellC,start:31.319,end:31.652;,cellA,start:31.669,end:31.92;,cellB,start:31.92,end:32.836;,cellD,start:32.852,end:33.136;,cellC,start:33.136,end:33.37;,cellA,start:33.385,end:33.605;,cellB,start:33.605,end:33.852;,cellD,start:33.887,end:34.102;,cellC,start:34.103,end:34.274;,cellA,start:34.302,end:34.535;,cellB,start:34.535,end:36.136;,cellA,start:36.136,end:37.702;,cellB,start:37.702,end:38.187;,cellA,start:38.203,end:38.826;,cellB,start:38.826,end:39.102;,cellA,start:39.102,end:39.137;,cellC,start:39.137,end:39.802;,cellD,start:39.802,end:40.702;,cellD,start:56.896,end:57.568;,cellB,start:57.601,end:57.985;,cellA,start:57.985,end:58.485;,cellC,start:58.501,end:58.935;,cellA,start:58.951,end:59.185;,cellB,start:59.185,end:59.301;,cellD,start:59.335,end:59.568;,cellC,start:59.568,end:59.751;,cellA,start:59.767,end:60.036;,cellC,start:60.051,end:60.084;,cellC,start:60.288,end:60.385;",0,uncongenial
12,gunsR,outrage,gunsR_outrage,NA,2,"NA","NA","NA",NA,NA
13,gunsR,outrage,gunsR_outrage,D,2,1,"Look at the sample sizes, there are 298 cities in the banned sample and 128 in the unbanned sample. 75% decrease w/ ban versus 84% w/o ban","cellD,start:1.412,end:1.429;,cellC,start:1.43,end:1.512;,cellA,start:2.128,end:2.595;,cellB,start:2.595,end:3.612;,cellA,start:3.612,end:4.144;,cellC,start:4.211,end:14.023;,cellD,start:14.023,end:14.689;,cellC,start:14.689,end:15.505;,cellA,start:15.555,end:15.855;,cellB,start:15.872,end:16.388;,cellA,start:16.405,end:17.155;,cellB,start:17.155,end:18.171;,cellA,start:18.171,end:24.901;,cellB,start:24.901,end:25.501;,cellA,start:25.518,end:38.345;,cellC,start:38.379,end:38.795;,cellD,start:38.795,end:42.893;,cellC,start:42.894,end:54.854;,cellC,start:56.254,end:61.051;,cellC,start:61.418,end:62.384;,cellD,start:62.384,end:62.451;,cellB,start:64.683,end:64.817;,cellD,start:64.883,end:65.117;,cellD,start:83.924,end:83.991;,cellC,start:83.992,end:84.908;,cellD,start:84.908,end:84.941;",1,congenial
